Date,Max EU price,Min EU price,Austria,Belgium,Bulgaria,Croatia,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Netherlands,Norway,Poland,Portugal,Romania,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland
2018-01-01,53.49,29.5,29.5,36.81,37.3,37.99,33.12,31.09,37.11,37.08,34.98,29.5,53.49,36.31,51.13,48.96,37.59,37.62,29.5,38.8,32.16,38.84,51.68,33.51,36.43,33.41,37.95,50.05,32.46,43.82
2018-02-01,57.05,36.49,40.12,47.39,36.49,44.87,41.0,38.77,43.38,43.38,48.78,40.12,51.62,41.66,53.56,57.05,43.5,43.51,40.12,44.57,38.34,44.51,54.97,37.96,41.37,41.99,43.38,54.87,39.97,52.98
2018-03-01,63.24,27.51,37.36,50.7,27.51,44.66,37.72,39.96,45.31,45.59,48.19,37.36,44.23,40.4,63.24,56.8,46.08,46.08,37.36,51.82,43.6,48.79,39.72,33.43,34.44,39.6,42.25,40.16,44.86,53.18
2018-04-01,53.34,26.04,31.96,37.74,28.35,34.14,31.81,35.95,39.81,40.14,33.54,31.96,50.41,31.87,53.34,49.42,39.96,40.11,31.96,39.72,38.9,43.18,42.68,26.04,28.84,31.75,32.23,42.69,38.83,34.08
2018-05-01,56.36,33.22,33.66,44.56,37.31,42.16,34.58,36.14,38.73,38.7,34.5,33.66,56.36,42.27,55.78,53.5,43.76,43.76,33.66,47.08,33.58,51.2,55.15,40.96,41.02,36.08,40.84,54.98,33.34,33.22
2018-06-01,60.68,36.05,42.39,49.93,36.05,51.75,44.02,46.33,47.81,47.18,42.29,42.39,60.68,51.26,55.48,57.27,50.92,51.06,42.39,51.36,44.79,52.89,58.47,47.46,51.07,48.78,50.68,58.45,44.65,43.15
2018-07-01,64.44,33.23,49.59,52.96,33.23,51.54,49.73,52.63,54.07,54.01,51.44,49.59,64.44,50.99,58.08,62.73,54.57,54.57,49.59,53.3,51.76,52.62,61.84,39.11,51.07,50.38,51.54,61.88,52.54,50.54
2018-08-01,67.54,40.05,56.22,60.74,40.05,60.85,57.75,56.15,55.4,55.5,58.45,56.22,63.84,60.48,62.89,67.54,59.07,59.05,56.22,58.02,50.97,59.47,64.3,52.36,61.03,59.39,60.85,64.34,54.64,58.18
2018-09-01,76.24,46.99,54.76,68.72,47.21,64.16,55.85,50.61,50.89,50.96,61.95,54.76,67.06,62.9,72.78,76.24,58.95,59.07,54.76,63.32,46.99,63.12,71.28,59.36,63.64,61.8,64.13,71.25,49.71,61.53
2018-10-01,76.05,41.95,61.65,76.05,52.01,64.1,56.18,48.79,46.37,46.36,65.64,53.08,71.43,64.49,73.62,73.94,55.06,55.7,53.08,59.93,41.95,58.91,65.41,61.67,64.32,61.78,64.05,65.11,45.29,72.97
2018-11-01,77.73,45.58,61.82,77.73,45.58,63.3,58.62,54.3,52.62,50.08,67.81,56.68,69.3,63.69,67.43,66.6,55.25,55.42,56.68,62.29,47.66,58.68,62.01,60.61,63.58,59.88,63.1,61.96,50.22,65.18
2018-12-01,75.5,47.66,56.33,59.66,57.22,64.07,51.68,47.66,53.03,52.3,54.89,48.11,71.25,65.05,75.5,65.08,53.6,53.6,48.11,59.66,51.48,53.38,61.86,64.17,64.5,56.44,62.43,61.81,50.86,57.69
2019-01-01,79.05,49.41,56.03,60.48,67.38,69.32,55.38,50.88,55.79,55.81,61.15,49.41,75.25,73.23,79.05,67.65,56.65,56.53,49.41,58.3,54.4,56.14,62.66,74.87,75.97,58.83,68.77,61.96,54.34,62.34
2019-02-01,69.02,39.65,46.03,47.57,39.65,49.73,45.1,43.25,47.26,46.75,46.61,42.81,69.02,49.54,54.82,57.64,47.26,46.95,42.81,46.85,45.95,49.48,54.73,48.56,49.92,45.32,49.68,54.02,45.56,48.73
2019-03-01,59.85,30.61,33.07,37.61,35.14,39.56,33.03,34.4,40.08,39.98,33.85,30.61,59.85,39.69,49.26,52.83,40.05,39.97,30.61,40.5,41.68,46.56,49.22,38.44,38.23,33.34,39.56,48.84,39.38,35.77
2019-04-01,62.39,36.97,37.75,37.92,41.59,45.63,38.01,39.41,42.11,41.37,38.1,36.97,62.39,46.48,49.42,53.4,43.44,43.44,36.97,40.84,41.34,53.2,50.65,45.01,46.64,39.31,45.63,50.4,39.66,38.68
2019-05-01,65.96,35.06,37.92,38.0,41.63,41.47,37.87,37.7,42.35,39.86,37.2,37.83,65.96,42.12,48.9,50.67,44.3,44.14,37.83,40.19,39.13,55.4,48.75,40.81,41.98,37.87,41.31,48.39,35.06,38.07
2019-06-01,68.09,25.07,34.58,27.49,40.49,40.41,33.84,33.15,43.47,30.73,29.24,32.5,68.09,41.31,41.75,48.59,44.67,44.67,32.5,36.23,28.51,58.34,47.18,38.87,41.47,34.56,40.02,47.16,25.07,31.85
2019-07-01,62.19,34.79,40.08,37.76,55.48,53.01,42.05,38.92,48.97,45.96,37.69,39.71,62.19,55.0,50.29,52.35,49.0,48.99,39.71,39.62,34.79,56.5,51.46,55.35,54.0,42.07,51.25,51.46,35.5,37.92
2019-08-01,63.98,33.36,37.68,33.69,52.15,55.88,39.77,38.49,49.05,48.74,33.36,36.82,63.98,58.71,45.58,49.63,49.46,49.34,36.82,37.41,35.36,61.56,44.95,60.21,58.98,40.64,54.61,44.95,37.25,33.85
2019-09-01,60.95,31.21,38.05,33.58,55.3,55.39,39.73,36.15,48.78,48.76,35.55,35.77,60.95,55.69,44.09,51.18,48.86,48.8,35.77,36.58,31.21,55.99,42.16,60.61,56.8,43.42,55.3,42.13,34.95,37.44
2019-10-01,63.28,36.63,38.99,37.62,55.81,55.35,38.73,39.53,47.69,46.36,38.62,36.95,63.28,56.94,41.36,52.85,47.35,46.99,36.95,37.96,36.63,53.17,47.19,57.31,58.13,41.85,55.22,47.15,38.25,39.98
2019-11-01,55.35,41.0,42.75,44.41,41.46,45.16,42.21,42.11,45.72,45.71,45.95,41.0,55.35,43.93,52.0,48.17,45.26,44.7,41.0,42.71,41.86,50.32,42.12,42.65,42.22,42.1,43.84,42.19,41.78,45.95
2019-12-01,59.7,31.97,38.12,36.36,42.51,40.11,37.27,34.55,39.04,38.4,36.47,31.97,59.7,41.08,45.44,43.34,39.03,38.96,31.97,37.4,37.14,44.55,33.68,41.44,41.19,38.91,39.52,33.81,35.96,40.84
2020-01-01,58.39,24.13,40.69,37.85,54.99,51.32,41.81,25.88,30.82,27.14,37.97,34.98,58.39,52.96,42.07,47.46,30.82,30.82,34.98,37.07,24.2,44.14,40.9,52.8,53.88,44.37,50.24,41.08,24.13,42.56
2020-02-01,49.17,12.86,29.09,28.36,41.41,39.59,30.54,18.07,28.09,24.44,26.25,21.91,49.17,39.84,33.02,39.27,28.04,27.76,21.91,29.55,12.86,40.87,36.03,40.49,39.95,30.72,39.26,35.86,17.68,34.12
2020-03-01,43.6,8.37,24.6,24.02,28.27,29.41,25.41,18.91,23.99,20.35,23.83,22.52,43.6,29.75,34.33,31.98,23.99,23.97,22.52,24.75,8.37,36.94,27.85,29.63,29.84,25.51,29.41,27.74,13.33,26.13
2020-04-01,33.3,4.69,18.26,14.68,24.83,23.97,19.24,15.62,23.68,19.81,13.41,17.05,28.48,25.32,27.99,24.8,23.5,23.3,17.05,18.97,4.69,33.3,17.73,25.56,25.08,19.34,23.74,17.61,9.07,17.18
2020-05-01,38.55,7.77,17.53,15.41,23.36,22.43,18.1,17.17,25.02,19.46,14.87,17.6,34.27,23.57,23.56,21.78,24.52,24.52,17.6,17.67,7.77,38.55,21.44,24.76,23.98,18.26,21.23,21.33,12.37,16.86
2020-06-01,48.39,2.1,26.59,25.59,30.5,28.82,26.34,27.56,37.76,28.25,25.85,26.23,34.09,30.02,25.97,28.06,38.65,38.64,26.23,26.26,2.1,48.39,30.66,30.36,29.84,26.34,27.96,30.63,21.17,25.71
2020-07-01,48.98,1.88,32.31,29.87,36.78,35.43,32.77,25.17,30.17,20.27,33.42,30.07,41.17,36.69,30.08,38.0,31.87,31.77,30.07,29.35,1.88,48.98,34.62,37.09,36.65,32.77,35.22,34.62,11.38,32.82
2020-08-01,52.29,4.67,35.98,35.55,37.44,38.15,34.58,36.93,40.92,40.57,36.76,34.89,46.18,37.63,36.9,40.31,43.44,43.35,34.89,34.07,4.67,52.29,36.13,37.89,37.26,35.18,37.61,36.21,31.71,35.53
2020-09-01,53.74,9.21,45.54,44.23,46.21,45.85,44.89,38.84,39.55,37.78,47.19,43.68,46.52,45.72,44.33,48.77,39.85,39.44,43.68,42.6,9.21,53.74,41.92,45.8,45.52,44.99,45.85,41.95,33.16,45.89
2020-10-01,52.19,12.33,35.49,39.38,43.12,38.56,36.35,26.16,37.65,31.08,37.87,33.96,47.32,39.32,47.82,43.55,37.76,37.76,33.96,37.11,12.33,52.19,36.43,42.21,39.31,36.36,38.56,36.55,22.58,38.21
2020-11-01,53.55,4.86,41.18,39.93,47.72,47.23,41.41,28.26,40.99,27.64,40.14,38.8,52.57,48.92,45.94,48.77,41.1,41.19,38.8,41.05,4.86,53.55,42.11,48.65,48.67,42.46,46.93,41.96,22.48,41.49
2020-12-01,59.0,17.95,50.19,47.4,56.76,55.56,51.49,36.4,45.5,39.27,48.42,43.55,59.0,58.19,58.83,54.08,44.87,45.76,43.55,48.28,17.95,56.65,42.04,58.4,57.95,51.56,54.52,41.97,29.79,51.36
2021-01-01,78.39,45.79,57.68,57.44,53.17,53.87,56.16,50.44,53.57,51.25,59.47,52.79,52.51,56.39,78.39,60.7,53.56,53.66,52.79,53.62,45.79,54.79,60.63,55.64,53.75,55.77,57.53,60.1,48.11,60.48
2021-02-01,59.28,28.24,50.39,48.57,46.87,50.38,50.68,50.06,59.12,57.1,49.01,48.71,50.37,50.86,57.56,56.57,59.12,59.28,48.71,49.23,48.01,58.89,28.24,48.12,46.86,50.49,50.38,28.54,51.57,53.88
2021-03-01,72.85,35.6,53.65,46.63,52.08,55.94,53.74,45.73,43.51,38.32,50.23,47.18,57.64,55.05,72.85,60.41,43.51,47.99,47.18,48.89,35.6,59.63,45.42,54.45,54.05,53.75,55.94,45.48,35.83,56.17
2021-04-01,85.5,33.68,60.08,57.04,61.75,64.51,60.28,47.99,43.69,36.83,63.15,53.66,64.2,62.97,85.5,69.07,43.69,44.81,53.66,53.87,38.2,59.36,64.98,62.83,63.62,60.69,64.51,65.06,33.68,63.67
2021-05-01,96.71,42.9,54.81,55.61,60.02,59.88,59.29,54.62,48.36,45.9,55.26,53.33,63.19,59.94,96.71,69.94,48.36,50.38,53.33,56.12,43.4,65.65,67.18,58.74,59.89,59.78,59.87,67.18,42.9,57.8
2021-06-01,95.06,41.71,74.34,74.49,77.16,78.47,75.14,73.73,71.81,56.18,73.56,74.13,83.53,77.94,95.06,84.88,76.36,77.79,74.13,76.51,41.71,76.23,83.3,76.88,78.69,75.83,78.47,83.31,44.57,73.61
2021-07-01,143.47,48.64,83.61,77.37,95.0,93.68,85.0,80.46,83.7,78.79,78.31,81.29,102.03,95.15,143.47,102.72,88.25,88.25,81.29,82.58,48.64,82.34,92.55,93.84,95.32,86.37,93.65,92.37,58.46,80.9
2021-08-01,131.48,63.86,82.94,79.55,111.53,105.63,84.99,83.49,87.15,68.14,77.4,82.81,121.61,109.06,131.48,112.66,87.44,87.85,82.81,86.66,63.86,82.4,106.13,112.74,109.71,85.59,105.58,106.08,67.26,82.66
2021-09-01,195.36,85.25,134.69,136.15,125.07,138.6,129.71,124.76,122.37,89.3,135.3,128.34,134.72,135.13,195.36,158.75,123.47,123.93,128.34,136.39,85.25,102.24,156.79,133.92,135.14,132.65,138.6,156.4,89.31,138.21
2021-10-01,218.04,61.44,169.78,165.37,188.57,202.73,140.62,112.93,105.61,64.85,172.54,139.54,198.52,197.29,218.04,217.66,106.4,108.92,139.54,163.81,70.33,103.23,199.7,192.32,201.48,151.17,202.73,199.67,61.44,198.32
2021-11-01,228.88,80.8,206.31,202.17,208.7,215.96,180.31,139.97,116.88,86.05,217.24,176.25,228.88,215.91,204.66,226.02,125.48,127.91,176.25,186.3,82.16,117.8,193.79,212.55,218.28,185.38,215.81,193.72,80.8,226.99
2021-12-01,282.14,135.92,250.03,245.43,219.75,251.76,228.59,189.96,202.55,193.27,274.51,220.96,235.36,245.7,250.4,280.97,207.3,212.11,220.96,237.8,135.92,179.38,239.07,230.14,246.37,231.95,252.4,238.97,156.71,282.14
2022-01-01,227.35,88.21,189.16,191.56,186.43,206.9,179.72,115.64,141.86,106.83,211.58,167.87,227.35,204.92,201.4,224.49,143.96,146.01,167.87,189.24,101.33,143.99,201.98,192.15,209.57,194.79,206.9,201.8,88.21,219.48
2022-02-01,211.75,65.23,167.8,162.64,187.54,195.5,155.03,108.21,104.59,80.85,185.63,128.78,211.73,194.29,175.23,211.75,104.64,104.67,128.78,168.29,84.58,116.81,200.81,188.25,198.8,171.37,195.4,200.31,65.23,208.71
2022-03-01,307.99,86.63,282.63,265.51,248.88,293.44,259.82,232.72,151.16,86.63,295.17,251.76,272.32,285.23,293.2,307.99,167.14,170.06,251.76,261.03,131.45,141.33,283.09,274.1,291.97,279.1,293.44,283.19,108.39,306.09
2022-04-01,246.91,79.42,186.41,186.72,174.51,192.69,174.35,159.66,100.71,79.42,232.92,166.0,246.91,189.45,,245.78,109.45,116.52,166.0,195.31,127.81,124.27,192.01,174.8,191.74,183.68,192.69,191.52,83.56,227.2
2022-05-01,230.05,95.36,184.52,176.67,201.8,202.06,189.02,168.51,151.36,132.35,197.46,177.51,225.07,204.87,,230.05,164.35,164.86,177.51,181.4,106.69,140.64,187.19,202.28,205.8,194.8,202.06,187.16,95.36,197.09
2022-06-01,271.58,104.0,228.58,219.29,223.16,245.58,224.96,214.16,174.6,140.33,248.73,218.18,240.83,237.06,,271.58,217.69,222.65,218.18,210.7,104.0,185.27,169.63,230.49,242.67,235.8,246.11,169.43,114.83,255.19
2022-07-01,441.74,74.8,359.2,321.55,323.4,375.56,319.64,259.55,233.69,183.92,400.95,315.26,338.32,371.23,,441.74,304.98,305.38,315.26,306.86,128.94,220.08,143.83,367.31,384.27,368.43,374.96,142.68,74.8,383.27
